Country or area,UN continentalregion+AFs-4+AF0-,UN statisticalregion+AFs-4+AF0-,Population(1 July 2018),Population(1 July 2019),Change
Afghanistan,Asia,Southern Asia,37171921,38041754,2.34+ACU-
Albania,Europe,Southern Europe,2882740,2880917,+//0A4v/9AIj//QCS-0.06+ACU-
Algeria,Africa,Northern Africa,42228408,43053054,1.95+ACU-
American Samoa,Oceania,Polynesia,55465,55312,+//0A4v/9AIj//QCS-0.28+ACU-
Andorra,Europe,Southern Europe,77006,77142,0.18+ACU-
Angola,Africa,Middle Africa,30809787,31825295,3.30+ACU-
Anguilla,Americas,Caribbean,14731,14869,0.94+ACU-
Antarctica,Antarctica,Antarctica,3000,3000,0.00+ACU-
Antigua and Barbuda,Americas,Caribbean,96286,97118,0.86+ACU-
Argentina,Americas,South America,44361150,44780677,0.95+ACU-
Armenia,Asia,Western Asia,2951745,2957731,0.20+ACU-
Aruba,Americas,Caribbean,105845,106314,0.44+ACU-
Australia,Oceania,Australia and New Zealand,24898152,25203198,1.23+ACU-
Austria,Europe,Western Europe,8891388,8955102,0.72+ACU-
Azerbaijan,Asia,Western Asia,9949537,10047718,0.99+ACU-
Bahamas,Americas,Caribbean,385637,389482,1.00+ACU-
Bahrain,Asia,Western Asia,1569446,1641172,4.57+ACU-
Bangladesh,Asia,Southern Asia,161376708,163046161,1.03+ACU-
Barbados,Americas,Caribbean,286641,287025,0.13+ACU-
Belarus,Europe,Eastern Europe,9452617,9452411,0.00+ACU-
Belgium,Europe,Western Europe,11482178,11539328,0.50+ACU-
Belize,Americas,Central America,383071,390353,1.90+ACU-
Benin,Africa,Western Africa,11485044,11801151,2.75+ACU-
Bermuda,Americas,Northern America,62756,62506,+//0A4v/9AIj//QCS-0.40+ACU-
Bhutan,Asia,Southern Asia,754388,763092,1.15+ACU-
Bolivia,Americas,South America,11353142,11513100,1.41+ACU-
Bosnia and Herzegovina,Europe,Southern Europe,3323925,3301000,+//0A4v/9AIj//QCS-0.69+ACU-
Botswana,Africa,Southern Africa,2254068,2303697,2.20+ACU-
Brazil,Americas,South America,209469323,211049527,0.75+ACU-
British Virgin Islands,Americas,Caribbean,29802,30030,0.77+ACU-
Brunei,Asia,South+AC0-eastern Asia,428963,433285,1.01+ACU-
Bulgaria,Europe,Eastern Europe,7051608,7000119,+//0A4v/9AIj//QCS-0.73+ACU-
Burkina Faso,Africa,Western Africa,19751466,20321378,2.89+ACU-
Burma,Asia,South+AC0-eastern Asia,53708320,54045420,0.63+ACU-
Burundi,Africa,Eastern Africa,10524117,10864245,3.23+ACU-
Cabo Verde,Africa,Western Africa,543767,549935,1.13+ACU-
Cambodia,Asia,South+AC0-eastern Asia,16249792,16486542,1.46+ACU-
Cameroon,Africa,Middle Africa,25216267,25876380,2.62+ACU-
Canada,Americas,Northern America,37074562,37411047,0.91+ACU-
Caribbean Netherlands,Americas,Caribbean,25711,25979,1.04+ACU-
Cayman Islands,Americas,Caribbean,64174,64948,1.21+ACU-
Central African Republic,Africa,Middle Africa,4666368,4745185,1.69+ACU-
Chad,Africa,Middle Africa,15477729,15946876,3.03+ACU-
Chile,Americas,South America,18729160,18952038,1.19+ACU-
China,Asia,Eastern Asia,1427647786,1433783686,0.43+ACU-
Colombia,Americas,South America,49661048,50339443,1.37+ACU-
Comoros,Africa,Eastern Africa,832322,850886,2.23+ACU-
Congo (Brazzaville),Africa,Middle Africa,5244359,5380508,2.60+ACU-
Congo (Kinshasa),Africa,Middle Africa,84068091,86790567,3.24+ACU-
Cook Islands,Oceania,Polynesia,17518,17548,0.17+ACU-
Costa Rica,Americas,Central America,4999441,5047561,0.96+ACU-
Cote d'Ivoire,Africa,Western Africa,25069230,25716544,2.58+ACU-
Croatia,Europe,Southern Europe,4156405,4130304,+//0A4v/9AIj//QCS-0.63+ACU-
Cuba,Americas,Caribbean,11338134,11333483,+//0A4v/9AIj//QCS-0.04+ACU-
Curacao,Americas,Caribbean,162752,163424,0.41+ACU-
Cyprus,Asia,Western Asia,1170125,1179551,0.81+ACU-
Czechia,Europe,Eastern Europe,10665677,10689209,0.22+ACU-
Denmark,Europe,Northern Europe,5752126,5771876,0.34+ACU-
Djibouti,Africa,Eastern Africa,958923,973560,1.53+ACU-
Dominica,Americas,Caribbean,71625,71808,0.26+ACU-
Dominican Republic,Americas,Caribbean,10627141,10738958,1.05+ACU-
Ecuador,Americas,South America,17084358,17373662,1.69+ACU-
Egypt,Africa,Northern Africa,98423598,100388073,2.00+ACU-
El Salvador,Americas,Central America,6420746,6453553,0.51+ACU-
Equatorial Guinea,Africa,Middle Africa,1308975,1355986,3.59+ACU-
Eritrea,Africa,Eastern Africa,3452786,3497117,1.28+ACU-
Estonia,Europe,Northern Europe,1322920,1325648,0.21+ACU-
Eswatini,Africa,Southern Africa,1136281,1148130,1.04+ACU-
Ethiopia,Africa,Eastern Africa,109224414,112078730,2.61+ACU-
Micronesia,Oceania,Micronesia,112640,113815,1.04+ACU-
Falkland Islands,Americas,South America,3234,3377,4.42+ACU-
Faroe Islands,Europe,Northern Europe,48497,48678,0.37+ACU-
Fiji,Oceania,Melanesia,883483,889953,0.73+ACU-
Finland,Europe,Northern Europe,5522576,5532156,0.17+ACU-
France,Europe,Western Europe,64990511,65129728,0.21+ACU-
French Guiana,Americas,South America,275713,282731,2.55+ACU-
French Polynesia,Oceania,Polynesia,277679,279287,0.58+ACU-
Gabon,Africa,Middle Africa,2119275,2172579,2.52+ACU-
Gambia,Africa,Western Africa,2280094,2347706,2.97+ACU-
Georgia,Asia,Western Asia,4002942,3996765,+//0A4v/9AIj//QCS-0.15+ACU-
Germany,Europe,Western Europe,83124418,83517045,0.47+ACU-
Ghana,Africa,Western Africa,28206728,28833629,2.22+ACU-
Gibraltar,Europe,Southern Europe,33718,33701,+//0A4v/9AIj//QCS-0.05+ACU-
Greece,Europe,Southern Europe,10522246,10473455,+//0A4v/9AIj//QCS-0.46+ACU-
Greenland,Americas,Northern America,56564,56672,0.19+ACU-
Grenada,Americas,Caribbean,111454,112003,0.49+ACU-
Guadeloupe,Americas,Caribbean,446928,447905,0.22+ACU-
Guam,Oceania,Micronesia,165768,167294,0.92+ACU-
Guatemala,Americas,Central America,17247849,17581472,1.93+ACU-
Guernsey and +//0Awv/9AKA-Jersey,Europe,Northern Europe,170499,172259,1.03+ACU-
Guinea,Africa,Western Africa,12414293,12771246,2.88+ACU-
Guinea-Bissau,Africa,Western Africa,1874303,1920922,2.49+ACU-
Guyana,Americas,South America,779006,782766,0.48+ACU-
Haiti,Americas,Caribbean,11123178,11263770,1.26+ACU-
Holy See,Europe,Southern Europe,801,799,+//0A4v/9AIj//QCS-0.25+ACU-
Honduras,Americas,Central America,9587522,9746117,1.65+ACU-
Hong Kong,Asia,Eastern Asia,7371730,7436154,0.87+ACU-
Hungary,Europe,Eastern Europe,9707499,9684679,+//0A4v/9AIj//QCS-0.24+ACU-
Iceland,Europe,Northern Europe,336713,339031,0.69+ACU-
India,Asia,Southern Asia,1352642280,1366417754,1.02+ACU-
Indonesia,Asia,South+AC0-eastern Asia,267670543,270625568,1.10+ACU-
Iran,Asia,Southern Asia,81800188,82913906,1.36+ACU-
Iraq,Asia,Western Asia,38433600,39309783,2.28+ACU-
Ireland,Europe,Northern Europe,4818690,4882495,1.32+ACU-
Isle of Man,Europe,Northern Europe,84077,84584,0.60+ACU-
Israel,Asia,Western Asia,8381516,8519377,1.64+ACU-
Italy,Europe,Southern Europe,60627291,60550075,+//0A4v/9AIj//QCS-0.13+ACU-
Jamaica,Americas,Caribbean,2934847,2948279,0.46+ACU-
Japan,Asia,Eastern Asia,127202192,126860301,+//0A4v/9AIj//QCS-0.27+ACU-
Jordan,Asia,Western Asia,9965318,10101694,1.37+ACU-
Kazakhstan,Asia,Central Asia,18319618,18551427,1.27+ACU-
Kenya,Africa,Eastern Africa,51392565,52573973,2.30+ACU-
Kiribati,Oceania,Micronesia,115847,117606,1.52+ACU-
Kuwait,Asia,Western Asia,4137312,4207083,1.69+ACU-
Kyrgyzstan,Asia,Central Asia,6304030,6415850,1.77+ACU-
Laos,Asia,South+AC0-eastern Asia,7061507,7169455,1.53+ACU-
Latvia,Europe,Northern Europe,1928459,1906743,+//0A4v/9AIj//QCS-1.13+ACU-
Lebanon,Asia,Western Asia,6859408,6855713,+//0A4v/9AIj//QCS-0.05+ACU-
Lesotho,Africa,Southern Africa,2108328,2125268,0.80+ACU-
Liberia,Africa,Western Africa,4818973,4937374,2.46+ACU-
Libya,Africa,Northern Africa,6678559,6777452,1.48+ACU-
Liechtenstein,Europe,Western Europe,37910,38019,0.29+ACU-
Lithuania,Europe,Northern Europe,2801264,2759627,+//0A4v/9AIj//QCS-1.49+ACU-
Luxembourg,Europe,Western Europe,604245,615729,1.90+ACU-
Macau,Asia,Eastern Asia,631636,640445,1.39+ACU-
Madagascar,Africa,Eastern Africa,26262313,26969307,2.69+ACU-
Malawi,Africa,Eastern Africa,18143217,18628747,2.68+ACU-
Malaysia,Asia,South+AC0-eastern Asia,31528033,31949777,1.34+ACU-
Maldives,Asia,Southern Asia,515696,530953,2.96+ACU-
Mali,Africa,Western Africa,19077749,19658031,3.04+ACU-
Malta,Europe,Southern Europe,439248,440372,0.26+ACU-
Marshall Islands,Oceania,Micronesia,58413,58791,0.65+ACU-
Martinique,Americas,Caribbean,375673,375554,+//0A4v/9AIj//QCS-0.03+ACU-
Mauritania,Africa,Western Africa,4403313,4525696,2.78+ACU-
Mauritius,Africa,Eastern Africa,1189265,1198575,0.78+ACU-
Mayotte,Africa,Eastern Africa,259531,266150,2.55+ACU-
Mexico,Americas,Central America,126190788,127575529,1.10+ACU-
Moldova,Europe,Eastern Europe,4051944,4043263,+//0A4v/9AIj//QCS-0.21+ACU-
Monaco,Europe,Western Europe,38682,38964,0.73+ACU-
Mongolia,Asia,Eastern Asia,3170216,3225167,1.73+ACU-
Montenegro,Europe,Southern Europe,627809,627987,0.03+ACU-
Montserrat,Americas,Caribbean,4993,4989,+//0A4v/9AIj//QCS-0.08+ACU-
Morocco,Africa,Northern Africa,36029093,36471769,1.23+ACU-
Mozambique,Africa,Eastern Africa,29496004,30366036,2.95+ACU-
Namibia,Africa,Southern Africa,2448301,2494530,1.89+ACU-
Nauru,Oceania,Micronesia,10670,10756,0.81+ACU-
Nepal,Asia,Southern Asia,28095714,28608710,1.83+ACU-
Netherlands,Europe,Western Europe,17059560,17097130,0.22+ACU-
New Caledonia,Oceania,Melanesia,279993,282750,0.98+ACU-
New Zealand,Oceania,Australia and New Zealand,4743131,4783063,0.84+ACU-
Nicaragua,Americas,Central America,6465501,6545502,1.24+ACU-
Niger,Africa,Western Africa,22442822,23310715,3.87+ACU-
Nigeria,Africa,Western Africa,195874683,200963599,2.60+ACU-
Niue,Oceania,Polynesia,1620,1615,+//0A4v/9AIj//QCS-0.31+ACU-
North Korea,Asia,Eastern Asia,25549604,25666161,0.46+ACU-
North Macedonia,Europe,Southern Europe,2082957,2083459,0.02+ACU-
Northern Mariana Islands,Oceania,Micronesia,56882,56188,+//0A4v/9AIj//QCS-1.22+ACU-
Norway,Europe,Northern Europe,5337962,5378857,0.77+ACU-
Oman,Asia,Western Asia,4829473,4974986,3.01+ACU-
Pakistan,Asia,Southern Asia,212228286,216565318,2.04+ACU-
Palau,Oceania,Micronesia,17907,18008,0.56+ACU-
Panama,Americas,Central America,4176869,4246439,1.67+ACU-
Papua New Guinea,Oceania,Melanesia,8606323,8776109,1.97+ACU-
Paraguay,Americas,South America,6956066,7044636,1.27+ACU-
Peru,Americas,South America,31989260,32510453,1.63+ACU-
Philippines,Asia,South+AC0-eastern Asia,106651394,108116615,1.37+ACU-
Poland,Europe,Eastern Europe,37921592,37887768,+//0A4v/9AIj//QCS-0.09+ACU-
Portugal,Europe,Southern Europe,10256193,10226187,+//0A4v/9AIj//QCS-0.29+ACU-
Puerto Rico,Americas,Caribbean,3039596,2933408,+//0A4v/9AIj//QCS-3.49+ACU-
Qatar,Asia,Western Asia,2781682,2832067,1.81+ACU-
Romania,Europe,Eastern Europe,19506114,19364557,+//0A4v/9AIj//QCS-0.73+ACU-
Russia,Europe,Eastern Europe,145734038,145872256,0.09+ACU-
Rwanda,Africa,Eastern Africa,12301970,12626950,2.64+ACU-
Reunion,Africa,Eastern Africa,882526,888927,0.73+ACU-
Saint Helena, Ascension and Tristan da Cunha,Africa,Western Africa,6035,6059,0.40+ACU-
Saint Kitts and Nevis,Americas,Caribbean,52441,52823,0.73+ACU-
Saint Lucia,Americas,Caribbean,181889,182790,0.50+ACU-
Saint Pierre and Miquelon,Americas,Northern America,5849,5822,+//0A4v/9AIj//QCS-0.46+ACU-
Saint Vincent and the Grenadines,Americas,Caribbean,110211,110589,0.34+ACU-
Samoa,Oceania,Polynesia,196129,197097,0.49+ACU-
San Marino,Europe,Southern Europe,33785,33860,0.22+ACU-
Sao Tome and Principe,Africa,Middle Africa,211028,215056,1.91+ACU-
Saudi Arabia,Asia,Western Asia,33702756,34268528,1.68+ACU-
Senegal,Africa,Western Africa,15854323,16296364,2.79+ACU-
Kosovo,Europe,Southern Europe,1935259,1935259,0.0
Serbia,Europe,Southern Europe,6871547,6871547,+//0A4v/9AIj//QCS-0.35+ACU-
Seychelles,Africa,Eastern Africa,97096,97739,0.66+ACU-
Sierra Leone,Africa,Western Africa,7650150,7813215,2.13+ACU-
Singapore,Asia,South+AC0-eastern Asia,5757499,5804337,0.81+ACU-
Sint Maarten,Americas,Caribbean,41940,42388,1.07+ACU-
Slovakia,Europe,Eastern Europe,5453014,5457013,0.07+ACU-
Slovenia,Europe,Southern Europe,2077837,2078654,0.04+ACU-
Solomon Islands,Oceania,Melanesia,652857,669823,2.60+ACU-
Somalia,Africa,Eastern Africa,15008226,15442905,2.90+ACU-
South Africa,Africa,Southern Africa,57792518,58558270,1.33+ACU-
South Korea,Asia,Eastern Asia,51171706,51225308,0.10+ACU-
South Sudan,Africa,Eastern Africa,10975927,11062113,0.79+ACU-
Spain,Europe,Southern Europe,46692858,46736776,0.09+ACU-
Sri Lanka,Asia,Southern Asia,21228763,21323733,0.45+ACU-
Sudan,Africa,Northern Africa,41801533,42813238,2.42+ACU-
Suriname,Americas,South America,575990,581372,0.93+ACU-
Sweden,Europe,Northern Europe,9971638,10036379,0.65+ACU-
Switzerland,Europe,Western Europe,8525611,8591365,0.77+ACU-
Syria,Asia,Western Asia,16945057,17070135,0.74+ACU-
Taiwan,Asia,Eastern Asia,23726460,23773876,0.20+ACU-
Tajikistan,Asia,Central Asia,9100835,9321018,2.42+ACU-
Tanzania,Africa,Eastern Africa,56313438,58005463,3.00+ACU-
Thailand,Asia,South+AC0-eastern Asia,68863514,69037513,0.25+ACU-
Timor-Leste,Asia,South+AC0-eastern Asia,1267974,1293119,1.98+ACU-
Togo,Africa,Western Africa,7889093,8082366,2.45+ACU-
Tokelau,Oceania,Polynesia,1319,1340,1.59+ACU-
Tonga,Oceania,Polynesia,110589,110940,0.32+ACU-
Trinidad and Tobago,Americas,Caribbean,1389843,1394973,0.37+ACU-
Tunisia,Africa,Northern Africa,11565201,11694719,1.12+ACU-
Turkey,Asia,Western Asia,82340088,83429615,1.32+ACU-
Turkmenistan,Asia,Central Asia,5850901,5942089,1.56+ACU-
Turks and Caicos Islands,Americas,Caribbean,37665,38191,1.40+ACU-
Tuvalu,Oceania,Polynesia,11508,11646,1.20+ACU-
U.S. Virgin Islands,Americas,Caribbean,104680,104578,+//0A4v/9AIj//QCS-0.10+ACU-
Uganda,Africa,Eastern Africa,42729036,44269594,3.61+ACU-
Ukraine,Europe,Eastern Europe,44246156,43993638,+//0A4v/9AIj//QCS-0.57+ACU-
United Arab Emirates,Asia,Western Asia,9630959,9770529,1.45+ACU-
United Kingdom,Europe,Northern Europe,67141684,67530172,0.58+ACU-
United States,Americas,Northern America,327096265,329064917,0.60+ACU-
US,Americas,Northern America,327096265,329064917,0.60+ACU-
Uruguay,Americas,South America,3449285,3461734,0.36+ACU-
Uzbekistan,Asia,Central Asia,32476244,32981716,1.56+ACU-
Vanuatu,Oceania,Melanesia,292680,299882,2.46+ACU-
Venezuela,Americas,South America,28887118,28515829,+//0A4v/9AIj//QCS-1.29+ACU-
Vietnam,Asia,South+AC0-eastern Asia,95545962,96462106,0.96+ACU-
Wallis and Futuna,Oceania,Polynesia,11661,11432,+//0A4v/9AIj//QCS-1.96+ACU-
West Bank and Gaza,Asia,Western Asia,4862979,4981420,2.44+ACU-
Western Sahara,Africa,Northern Africa,567402,582463,2.65+ACU-
World,,,7631091040,7713468100,1.08+ACU-
Yemen,Asia,Western Asia,28498683,29161922,2.33+ACU-
Zambia,Africa,Eastern Africa,17351708,17861030,2.94+ACU-
Zimbabwe,Africa,Eastern Africa,14438802,14645468,1.43+ACU-
